date,value
2000-08-10,1041.79
2000-08-11,1031.93
2000-08-14,1037.79
2000-08-16,1068.72
2000-08-17,1060.97
2000-08-18,1077.6
2000-08-21,1092.18
2000-08-22,1100.78
2000-08-23,1099.94
2000-08-24,1116.98
2000-08-25,1118.87
2000-08-28,1110.47
2000-08-29,1112.59
2000-08-30,1123.65
2000-08-31,1137.78
2000-09-04,1165.73
2000-09-05,1165.96
2000-09-06,1174.99
2000-09-07,1178.64
2000-09-08,1187.4
2000-09-11,1186.25
2000-09-12,1192.32
2000-09-13,1184.46
2000-09-14,1176.67
2000-09-15,1140.72
2000-09-18,1088.83
2000-09-19,1063.78
2000-09-20,1085.54
2000-09-21,1066.18
2000-09-22,1014.21
2000-09-25,1055.67
2000-09-26,1030.83
2000-09-27,1045.89
2000-09-28,1023.94
2000-09-29,1026.63
2000-10-03,1028.84
2000-10-04,1038.59
2000-10-05,1025.96
2000-10-06,1023.77
2000-10-09,1004.28
2000-10-10,976.57
2000-10-11,951.92
2000-10-12,959.67
2000-10-13,932.34
2000-10-16,935.37
2000-10-17,915.5
2000-10-18,897.52
2000-10-19,933.51
2000-10-20,936.88
2000-10-23,908.26
2000-10-24,915.8
2000-10-25,944.25
2000-10-26,948.34
2000-10-27,947.54
2000-10-30,934.73
2000-10-31,944.2
2000-11-30,1021.84
2000-12-01,1038.85
2000-12-04,1036.27
2000-12-05,1050.91
2000-12-06,1059.37
2000-12-07,1065.1
2000-12-08,1080.51
2000-12-11,1095.64
2000-12-12,1095.79
2000-12-13,1116.86
2000-12-14,1104.14
2000-12-15,1064.96
2000-12-18,1068.58
2000-12-19,1054.99
2000-12-20,1045.85
2000-12-21,1031.18
2000-12-22,988.15
2000-12-26,960.16
2000-12-27,983.53
2000-12-28,997.54
2000-12-29,1012.89
2001-01-01,1007.26
2001-01-02,1023.05
2001-01-03,1030.96
2001-01-04,1050.57
2001-01-05,1068.3
2001-01-08,1043.68
2001-01-09,1048.01
2001-01-10,1034.89
2001-01-11,1020.47
2001-01-12,1026.52
2001-01-15,1025.05
2001-01-16,1027.03
2001-01-17,1030.1
2001-01-18,1040.94
2001-01-19,1069.16
2001-01-22,1077.83
2001-01-23,1080.69
2001-01-24,1092.86
2001-01-25,1093.64
2001-01-29,1065.14
2001-01-30,1095.38
2001-01-31,1088.81
2001-02-01,1071.91
